indx,type
0,work
1,work
2,work
3,highschool
4,other
5,other
6,other
7,work
8,work
9,other
10,preschool
11,other
12,work
13,other
14,work
15,work
16,other
17,work
18,work
19,work
20,work
21,primary
22,primary
23,other
24,highschool
25,primary
26,other
27,other
28,work
29,primary
30,work
31,work
32,work
33,other
34,work
35,work
36,other
37,other
38,preschool
39,work
40,work
41,work
42,work
43,work
44,other
45,other
46,primary
47,other
48,work
49,other
50,work
51,other
52,other
53,work
54,other
55,work
56,work
57,primary
58,work
59,work
60,other
61,work
62,work
63,work
64,work
65,work
66,highschool
67,other
68,primary
69,highschool
70,work
71,other
72,highschool
73,work
74,other
75,work
76,work
77,other
78,work
79,work
80,other
81,work
82,work
83,highschool
84,other
85,work
86,preschool
87,work
88,work
89,work
90,other
91,work
92,work
93,work
94,work
95,preschool
96,preschool
97,work
98,work
99,work
100,highschool
101,work
102,work
103,other
104,work
105,work
106,preschool
107,other
108,other
109,preschool
110,other
111,work
112,work
113,highschool
114,work
115,highschool
116,work
117,work
118,work
119,other
120,work
121,highschool
122,preschool
123,preschool
124,work
125,other
126,highschool
127,highschool
128,work
129,work
130,work
131,other
132,highschool
133,primary
134,other
135,highschool
136,other
137,work
138,work
139,work
140,other
141,work
142,work
143,work
144,preschool
145,work
146,preschool
147,other
148,work
149,work
150,work
151,work
152,work
153,preschool
154,preschool
155,work
156,work
157,work
158,work
159,other
160,highschool
161,work
162,work
163,work
164,work
165,primary
166,work
167,other
168,work
169,work
170,primary
171,work
172,work
173,preschool
174,preschool
175,work
176,work
177,work
178,work
179,work
180,work
181,work
182,other
183,work
184,work
185,work
186,work
187,work
188,other
189,work
190,work
191,primary
192,other
193,work
194,other
195,work
196,other
197,preschool
198,work
199,other
200,work
201,work
202,other
203,highschool
204,primary
205,work
206,work
207,other
208,highschool
209,other
210,work
211,work
212,other
213,work
214,work
215,work
216,work
217,other
218,work
219,work
220,other
221,work
222,work
223,work
224,work
225,work
226,work
227,highschool
228,other
229,other
230,other
231,work
232,other
233,other
234,other
235,other
236,preschool
237,highschool
238,primary
239,preschool
240,other
241,work
242,other
243,work
244,other
245,work
246,work
247,work
248,work
249,other
250,other
251,highschool
252,other
253,highschool
254,work
255,other
256,work
257,work
258,work
259,work
260,highschool
261,other
262,work
263,highschool
264,other
265,work
266,preschool
267,work
268,other
269,other
270,other
271,work
272,work
273,work
274,work
275,work
276,work
277,work
278,other
279,other
280,work
281,work
282,other
283,work
284,work
285,work
286,preschool
287,work
288,highschool
289,other
290,work
291,work
292,other
293,preschool
294,highschool
295,primary
296,work
297,work
298,work
299,work
300,work
301,work
302,other
303,other
304,work
305,other
306,other
307,primary
308,preschool
309,work
310,highschool
311,preschool
312,work
313,work
314,other
315,work
316,other
317,other
318,work
319,work
320,work
321,other
322,other
323,work
324,work
325,other
326,other
327,work
328,work
329,work
330,work
331,work
332,work
333,work
334,work
335,work
336,other
337,other
338,work
339,work
340,other
341,highschool
342,other
343,work
344,primary
345,other
346,highschool
347,preschool
348,work
349,other
350,other
351,primary
352,other
353,primary
354,other
355,work
356,work
357,other
358,work
359,work
360,work
361,highschool
362,work
363,primary
364,work
365,work
366,other
367,work
368,highschool
369,work
370,primary
371,other
372,work
373,other
374,primary
375,work
376,other
377,other
378,other
379,highschool
380,preschool
381,work
382,highschool
383,primary
384,work
385,work
386,work
387,work
388,work
389,preschool
390,work
391,other
392,work
393,primary
394,other
395,other
396,work
397,other
398,work
399,other
400,other
401,other
402,preschool
403,work
404,work
405,work
406,work
407,primary
408,work
409,work
410,work
411,work
412,primary
413,work
414,other
415,other
416,work
417,other
418,work
419,work
420,work
421,other
422,work
423,work
424,work
425,work
426,work
427,primary
428,other
429,work
430,other
431,highschool
432,work
433,work
434,work
435,preschool
436,work
437,work
438,preschool
439,other
440,work
441,work
442,other
443,work
444,work
445,other
446,other
447,highschool
448,other
449,other
450,other
451,other
452,work
453,work
454,work
455,work
456,other
457,work
458,work
459,other
460,other
461,other
462,other
463,work
464,highschool
465,other
466,work
467,work
468,work
469,work
470,work
471,other
472,work
473,primary
474,work
475,work
476,highschool
477,work
478,preschool
479,other
480,preschool
481,other
482,work
483,work
484,other
485,highschool
486,other
487,work
488,work
489,work
490,other
491,work
492,other
493,primary
494,other
495,work
496,work
497,other
498,work
499,work
